id,campus,00,01,02,03,04,05,06,07,08,09,r00,r01,final
10006,1,81,0,0,0,0,0,0,0,0,0,0,0,6
10011,1,73,66,31,100,25,50,7,75,0,18,103,0,63
10012,1,50,61,50,18,0,30,0,18,0,6,58,0,50
10013,1,50,50,50,50,15,0,0,0,0,0,43,18,50
10014,1,50,50,50,50,7,10,0,1,0,16,3,0,50
10015,1,105,55,50,50,0,0,0,0,0,0,0,0,50
10016,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,1,51,47,5,50,47,10,0,50,0,38,90,0,50
10019,1,65,72,35,100,60,55,24,100,0,18,135,88,75
10020,1,50,3,17,100,13,15,5,50,0,6,63,8,50
10021,1,50,50,0,68,27,0,0,98,0,18,13,0,50
10022,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10023,1,35,46,0,30,100,70,30,50,0,0,68,0,50
10024,1,130,46,0,100,30,0,0,25,0,50,138,33,50
10025,1,101,21,31,100,0,0,0,100,0,6,135,0,50
10026,1,50,50,50,0,0,10,5,25,21,6,105,0,50
10027,1,60,50,50,75,40,40,12,0,0,0,0,48,50
10028,1,69,1,0,58,100,70,0,0,0,0,0,0,50
10029,1,70,50,0,73,11,10,0,30,0,0,83,23,50
10030,1,17,3,0,45,12,0,0,0,0,12,0,0,0
10031,1,90,0,60,100,98,0,24,100,0,80,90,0,69
10032,1,25,87,18,93,60,0,0,75,0,0,0,0,50
10033,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10034,1,50,50,5,71,0,10,0,0,0,18,50,27,50
10035,1,0,0,0,0,0,10,0,0,0,0,0,0,0
10037,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10038,1,70,50,12,16,12,10,0,1,0,0,91,78,50
10039,1,63,50,3,47,0,0,5,55,0,21,111,7,50
10040,1,102,55,20,50,22,10,5,25,0,10,148,0,50
10041,1,140,85,5,100,60,10,0,100,0,25,50,0,63
10042,1,101,50,50,70,13,0,20,25,0,0,15,31,50
10043,1,97,66,0,93,37,0,2,75,0,6,130,0,56
10044,1,50,50,50,17,10,35,0,0,0,0,138,0,50
10045,1,70,41,16,100,60,70,20,100,0,25,60,15,63
10046,1,123,50,50,41,25,0,0,0,0,0,51,0,50
10047,1,67,50,35,30,15,10,0,75,0,28,75,0,50
10048,1,50,50,50,42,11,0,2,56,0,15,0,0,50
10049,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10050,1,78,25,5,75,30,40,2,75,0,6,113,0,50
10051,1,50,50,50,0,11,35,2,56,0,5,23,21,50
10052,1,45,46,16,56,15,80,6,75,0,2,140,1,50
10055,1,103,50,50,50,0,0,0,0,0,0,0,0,50
10056,1,0,0,0,0,0,10,0,0,0,0,0,0,0
10057,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10058,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10060,1,0,0,0,0,0,0,0,0,0,0,0,0,13
10061,1,67,55,50,50,0,0,17,0,0,0,33,11,50
10062,1,84,50,2,58,41,0,0,40,0,10,33,80,50
10063,1,50,50,50,50,0,40,0,25,0,0,31,8,50
10064,1,97,51,53,95,18,10,0,0,0,25,67,0,56
10065,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10066,1,68,50,0,68,6,0,0,15,0,10,117,0,50
10067,1,125,50,50,60,15,10,0,0,0,0,0,6,50
10068,1,103,30,0,92,0,10,2,50,0,0,113,13,50
10069,1,70,50,8,30,100,45,0,100,0,5,0,0,50
10070,1,50,50,6,20,97,0,0,0,0,0,55,30,50
10071,1,0,0,0,0,0,0,0,0,0,0,41,0,6
10072,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10073,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10074,1,70,30,20,75,56,0,0,100,0,22,3,28,50
10075,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10076,1,50,10,2,75,60,10,1,75,0,12,30,13,50
10077,1,98,10,0,50,35,10,0,56,0,6,37,51,50
10078,1,85,50,50,25,10,0,1,25,0,10,140,15,50
10079,1,110,51,2,100,15,10,0,28,0,0,132,0,50
10080,1,0,0,0,0,0,0,0,0,0,0,0,0,13
10081,1,59,50,50,50,0,30,0,0,0,0,26,0,50
10082,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10083,1,50,50,0,63,22,0,0,50,0,0,45,0,50
10084,1,50,5,5,56,2,15,0,100,0,0,68,0,50
10085,1,70,60,45,100,73,80,42,100,0,25,0,8,63
10086,1,50,50,0,100,-15,35,10,100,0,0,0,48,50
10087,1,50,45,15,35,98,0,0,100,0,0,133,0,50
10088,1,50,17,8,75,27,40,0,100,0,25,16,51,50
10090,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10091,1,50,50,5,23,95,0,0,25,0,0,56,4,50
10092,1,101,50,50,18,10,0,7,25,0,16,135,36,50
